Elements,FileID,Loadcase,Step,Layer,XX,XY,YY
8,2,3,0,Mid,-31.52231979370,105.39945983887,6.56172513962
9,2,3,0,Mid,-29.65237808228,123.76527404785,84.82889556885
10,2,3,0,Mid,-5.01408529282,137.44435119629,-106.96194458008
11,2,3,0,Mid,-30.91631317139,84.99103546143,6.01367664337
12,2,3,0,Mid,-56.47668457031,137.12541198730,118.76827239990
13,2,3,0,Mid,-1.59852933884,223.03425598145,-46.56923675537
14,2,3,0,Mid,-30.65267372131,182.41554260254,5.89319849014
15,2,3,0,Mid,-59.66327667236,222.99316406250,58.49603652954
16,2,3,0,Mid,-59.66327667236,222.99316406250,58.49603652954
17,2,3,0,Mid,-30.65267372131,182.41554260254,5.89319849014
18,2,3,0,Mid,-1.59852933884,223.03425598145,-46.56923675537
19,2,3,0,Mid,-56.47668457031,137.12541198730,118.76827239990
20,2,3,0,Mid,-30.91631317139,84.99103546143,6.01367664337
21,2,3,0,Mid,-5.01408529282,137.44435119629,-106.96194458008
22,2,3,0,Mid,-29.65237808228,123.76527404785,84.82889556885
23,2,3,0,Mid,-31.52231979370,105.39945983887,6.56172513962
24,2,3,0,Mid,-31.88286018372,124.98130798340,-73.57061767578
25,2,3,0,Mid,-29.06779098511,122.88265991211,52.32325363159
26,2,3,0,Mid,-29.33959960938,106.38124084473,8.30869674683
27,2,3,0,Mid,-34.51447296143,124.86853027344,-42.81194686890
28,2,3,0,Mid,-23.89807891846,126.09629821777,21.20744514465
29,2,3,0,Mid,-27.19766998291,106.59167480469,6.84178876877
30,2,3,0,Mid,-20.12473869324,122.58052825928,-10.22923374176
